"ASV","Contaminant","Phylum","Class","Order","Family","Genus","Species"
"ASV_4360",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4361",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4362",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4363",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4364",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4374",FALSE,"Tubulinea","Elardia","Arcellinida","Hyalospheniidae","Hyalosphenia","Hyalosphenia papilio"
"ASV_4375",FALSE,"Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Arthrocladium","Arthrocladium fulminans"
"ASV_4376",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4377",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4378",FALSE,"Evosea","Eumycetozoa","Physariida","Didymiaceae","Didymium","Didymium clavus"
"ASV_4380",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_4381",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_4382",FALSE,"Arthropoda","Ostracoda","Podocopida","Cyprididae","Cypridopsis","Cypridopsis vidua"
"ASV_4383",FALSE,"Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Allocanariomyces","Allocanariomyces sp."
"ASV_4385",FALSE,"Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Perennicordyceps","Perennicordyceps ryogamiensis"
"ASV_4387",FALSE,"Ascomycota","Leotiomycetes","Thelebolales","Thelebolaceae","Pseudogymnoascus","Pseudogymnoascus destructans"
"ASV_4388",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita ciconiae"
"ASV_4389",FALSE,"Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps farinosa"
"ASV_4391",FALSE,"Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zasmidium","Zasmidium cellare"
"ASV_4394",FALSE,"Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","Hygrocybe persistens"
"ASV_4395",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter sp. R77961"
"ASV_4397",FALSE,"Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Arthrocladium","Arthrocladium fulminans"
"ASV_4399",FALSE,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Oceanisphaera","Oceanisphaera profunda"
"ASV_4400",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita sp. F7"
"ASV_4403",FALSE,"Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","Eimeria","Eimeria sp."
"ASV_4404",FALSE,"Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Iltovirus","Iltovirus gallidalpha1"
"ASV_4405",FALSE,"Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_4408",FALSE,"Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia digitata"
"ASV_4411",FALSE,"Arthropoda","Insecta","Diptera","Agromyzidae","","Agromyzidae sp. BIOUG21845-G10"
"ASV_4412",FALSE,"Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium","Purpureocillium lilacinum"
"ASV_4413",FALSE,"Ascomycota","Leotiomycetes","Helotiales","","Tetracladium","Tetracladium breve"
"ASV_4414",FALSE,"Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Aphelenchoides","Aphelenchoides heidelbergi"
"ASV_4416",FALSE,"Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","","Methylophilaceae bacterium"
"ASV_4419",FALSE,"Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Sporothrix","Sporothrix schenckii"
"ASV_4423",FALSE,"Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","","Methylophilaceae bacterium"
"ASV_4426",FALSE,"Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"ASV_4428",FALSE,"Basidiomycota","Agaricomycetes","Agaricales","Squamanitaceae","Floccularia","Floccularia luteovirens"
"ASV_4429",FALSE,"Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Niesslia","Niesslia mucida"
"ASV_4431",FALSE,"Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_4432",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured Flavobacterium sp."
"ASV_4435",FALSE,"Ascomycota","Leotiomycetes","","","Leohumicola","Leohumicola verrucosa"
"ASV_4438",FALSE,"Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","Hypogymnia vittata"
"ASV_4439",FALSE,"Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia restricta"
"ASV_4441",FALSE,"Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina","Taphrina wiesneri"
"ASV_4443",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. xlx-214"
"ASV_4444",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
