ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_159,NA,Arthropoda,Insecta,Lepidoptera,NA,NA,Lepidoptera_sp._NZAC_03011646
ASV_160,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_citrinum
ASV_161,NA,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Macalpinomyces,Macalpinomyces_bursus
ASV_162,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_163,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp._ShG4C
ASV_164,NA,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Cystobasidium,Cystobasidium_sp.
ASV_165,NA,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Fulvia,Fulvia_fulva
ASV_166,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_lenta
ASV_167,NA,NA,NA,NA,NA,NA,NA
ASV_168,NA,Arthropoda,Insecta,Hemiptera,Halimococcidae,Colobopyga,Colobopyga_pritchardiae
ASV_169,NA,NA,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,Ectocarpus_siliculosus
ASV_170,NA,NA,NA,NA,NA,NA,NA
ASV_171,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_pannorum
ASV_172,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces_elegans
ASV_173,NA,Arthropoda,Insecta,Trichoptera,Leptoceridae,Triplectides,Triplectides_dolichos
ASV_174,NA,Arthropoda,Insecta,NA,NA,NA,Endopterygota_sp._NZAC_03009123
ASV_175,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_bantiana
ASV_176,NA,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Corniculantispora,Corniculantispora_psalliotae
